Energy	I0	Sample	Reference
7343.01	1.01581E6	735479	73718
7345.95	1.01391E6	735683	73983
7349.06	1.01185E6	735904	74278
7351.95	1.01035E6	736140	74495
7355.06	1.00873E6	736486	74619
7357.91	1.00589E6	736015	74901
7360.97	990384	725616	74065
7363.98	1.00041E6	735212	75180
7366.99	1.00016E6	736449	75422
7370.06	998341	736396	75635
7372.92	996801	736551	75984
7376.05	995016	736798	76182
7378.91	993211	736843	76457
7381.99	991435	736921	76691
7385.02	989389	737191	76945
7387.89	987613	737257	77227
7390.98	986117	737739	77454
7393.96	984049	737622	77660
7397.16	982499	738172	77955
7399.88	980955	738271	78162
7403.03	979151	738493	78432
7405.97	976776	738057	78654
7409.02	974840	738207	78830
7411.96	973279	738567	79053
7415.02	971671	738865	79466
7418.02	969869	738797	79542
7420.97	968357	739162	79869
7424.09	966519	739434	80171
7426.99	965021	739574	80400
7430.01	963234	739663	80572
7432.91	961187	739634	80746
7435.99	959476	739684	80962
7439.01	957658	739682	81270
7441.92	955844	739898	81590
7445.06	954431	740194	81770
7448.03	952729	740340	81942
7451.11	950925	740495	82328
7453.88	948963	740264	82515
7457.08	946895	740183	82726
